,id,name,GN,OS,PE,SV,n,Tax,RepID
0,P47205/1-303,,,,,,,,
1,UniRef100_A0A2D4BDG1/2-322,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase (Fragment),,,,,1.0,Pythium insidiosum TaxID=114742,A0A2D4BDG1_PYTIN
2,UniRef100_A0A2D4BDG1/322-633,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase (Fragment),,,,,1.0,Pythium insidiosum TaxID=114742,A0A2D4BDG1_PYTIN
3,UniRef100_UPI000E1E4E97/126-322,[subseq from] UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,,,,,2.0,Xanthomonas TaxID=338,UPI000E1E4E97
4,UniRef100_C5BP28/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Teredinibacter turnerae (strain ATCC 39867 / T7901) TaxID=377629,LPXC_TERTT
5,UniRef100_UPI0007C79A06/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,unclassified Pseudomonas TaxID=196821,UPI0007C79A06
6,UniRef100_UPI00036885D5/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Teredinibacter turnerae TaxID=2426,UPI00036885D5
7,UniRef100_UPI000DBA7E0D/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Marinimicrobium sp. SW121 TaxID=2202654,UPI000DBA7E0D
8,UniRef100_F3LI97/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,gamma proteobacterium IMCC1989 TaxID=937772,F3LI97_9GAMM
9,UniRef100_A0A0B5K810/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Pseudomonas TaxID=286,A0A0B5K810_9PSED
10,UniRef100_A0A1B2F735/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,3.0,Pseudomonas TaxID=286,A0A1B2F735_PSEPU
11,UniRef100_UPI00035CA0EB/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Dasania marina TaxID=471499,UPI00035CA0EB
12,UniRef100_A0A3N1NZJ9/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Marinimicrobium koreense TaxID=306545,A0A3N1NZJ9_9GAMM
13,UniRef100_UPI0003A9777E/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas TaxID=286,UPI0003A9777E
14,UniRef100_UPI0004649259/1-300,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Marinimicrobium sp. LS-A18 TaxID=1381596,UPI0004649259
15,UniRef100_B0KFS0/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,2.0,Pseudomonas putida TaxID=303,LPXC_PSEPG
16,UniRef100_A0A4R5SV37/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas putida TaxID=303,A0A4R5SV37_PSEPU
17,UniRef100_UPI000370EB12/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Teredinibacter turnerae TaxID=2426,UPI000370EB12
18,UniRef100_UPI00037CA082/1-299,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Teredinibacter turnerae TaxID=2426,UPI00037CA082
19,UniRef100_A0A5E6SM78/1-301,[subseq from] UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,,1.0,Pseudomonas fluorescens TaxID=294,A0A5E6SM78_PSEFL
